"","simple_date","Treatment","type","year","season","rainfall","VWC","julian_date"
"88",2012-01-15,"Drought","observed",2012,NA,NA,NA,15
"89",2012-01-15,"Irrigation","predicted",2012,NA,NA,NA,15
"90",2012-01-15,"Irrigation","observed",2012,NA,NA,NA,15
"91",2012-01-16,"Control","predicted",2012,NA,NA,NA,16
"92",2012-01-16,"Control","observed",2012,NA,NA,NA,16
"93",2012-01-16,"Drought","predicted",2012,NA,NA,NA,16
"94",2012-01-16,"Drought","observed",2012,NA,NA,NA,16
"95",2012-01-16,"Irrigation","predicted",2012,NA,NA,NA,16
"96",2012-01-16,"Irrigation","observed",2012,NA,NA,NA,16
"97",2012-01-17,"Control","predicted",2012,NA,NA,NA,17
"98",2012-01-17,"Control","observed",2012,NA,NA,NA,17
"99",2012-01-17,"Drought","predicted",2012,NA,NA,NA,17
"100",2012-01-17,"Drought","observed",2012,NA,NA,NA,17
"101",2012-01-17,"Irrigation","predicted",2012,NA,NA,NA,17
"102",2012-01-17,"Irrigation","observed",2012,NA,NA,NA,17
"103",2012-01-18,"Control","predicted",2012,NA,NA,NA,18
"104",2012-01-18,"Control","observed",2012,NA,NA,NA,18
"105",2012-01-18,"Drought","predicted",2012,NA,NA,NA,18
"106",2012-01-18,"Drought","observed",2012,NA,NA,NA,18
"107",2012-01-18,"Irrigation","predicted",2012,NA,NA,NA,18
"108",2012-01-18,"Irrigation","observed",2012,NA,NA,NA,18
"109",2012-01-19,"Control","predicted",2012,NA,NA,NA,19
"110",2012-01-19,"Control","observed",2012,NA,NA,NA,19
"111",2012-01-19,"Drought","predicted",2012,NA,NA,NA,19
"112",2012-01-19,"Drought","observed",2012,NA,NA,NA,19
"113",2012-01-19,"Irrigation","predicted",2012,NA,NA,NA,19
"114",2012-01-19,"Irrigation","observed",2012,NA,NA,NA,19
"115",2012-01-20,"Control","predicted",2012,NA,NA,NA,20
"116",2012-01-20,"Control","observed",2012,NA,NA,NA,20
"117",2012-01-20,"Drought","predicted",2012,NA,NA,NA,20
"118",2012-01-20,"Drought","observed",2012,NA,NA,NA,20
"119",2012-01-20,"Irrigation","predicted",2012,NA,NA,NA,20
"120",2012-01-20,"Irrigation","observed",2012,NA,NA,NA,20
"121",2012-01-21,"Control","predicted",2012,NA,NA,NA,21
"122",2012-01-21,"Control","observed",2012,NA,NA,NA,21
"123",2012-01-21,"Drought","predicted",2012,NA,NA,NA,21
"124",2012-01-21,"Drought","observed",2012,NA,NA,NA,21
"125",2012-01-21,"Irrigation","predicted",2012,NA,NA,NA,21
"126",2012-01-21,"Irrigation","observed",2012,NA,NA,NA,21
"127",2012-01-22,"Control","predicted",2012,NA,NA,NA,22
"128",2012-01-22,"Control","observed",2012,NA,NA,NA,22
"129",2012-01-22,"Drought","predicted",2012,NA,NA,NA,22
"130",2012-01-22,"Drought","observed",2012,NA,NA,NA,22
"131",2012-01-22,"Irrigation","predicted",2012,NA,NA,NA,22
"132",2012-01-22,"Irrigation","observed",2012,NA,NA,NA,22
"133",2012-01-23,"Control","predicted",2012,NA,NA,NA,23
"134",2012-01-23,"Control","observed",2012,NA,NA,NA,23
"135",2012-01-23,"Drought","predicted",2012,NA,NA,NA,23
"136",2012-01-23,"Drought","observed",2012,NA,NA,NA,23
"137",2012-01-23,"Irrigation","predicted",2012,NA,NA,NA,23
"138",2012-01-23,"Irrigation","observed",2012,NA,NA,NA,23
"139",2012-01-24,"Control","predicted",2012,NA,NA,NA,24
"140",2012-01-24,"Control","observed",2012,NA,NA,NA,24
"141",2012-01-24,"Drought","predicted",2012,NA,NA,NA,24
"142",2012-01-24,"Drought","observed",2012,NA,NA,NA,24
"143",2012-01-24,"Irrigation","predicted",2012,NA,NA,NA,24
"144",2012-01-24,"Irrigation","observed",2012,NA,NA,NA,24
"145",2012-01-25,"Control","predicted",2012,NA,NA,NA,25
"146",2012-01-25,"Control","observed",2012,NA,NA,NA,25
"147",2012-01-25,"Drought","predicted",2012,NA,NA,NA,25
"148",2012-01-25,"Drought","observed",2012,NA,NA,NA,25
"149",2012-01-25,"Irrigation","predicted",2012,NA,NA,NA,25
"150",2012-01-25,"Irrigation","observed",2012,NA,NA,NA,25
"151",2012-01-26,"Control","predicted",2012,NA,NA,NA,26
"152",2012-01-26,"Control","observed",2012,NA,NA,NA,26
"153",2012-01-26,"Drought","predicted",2012,NA,NA,NA,26
"154",2012-01-26,"Drought","observed",2012,NA,NA,NA,26
"155",2012-01-26,"Irrigation","predicted",2012,NA,NA,NA,26
"156",2012-01-26,"Irrigation","observed",2012,NA,NA,NA,26
"157",2012-01-27,"Control","predicted",2012,NA,NA,NA,27
"158",2012-01-27,"Control","observed",2012,NA,NA,NA,27
"159",2012-01-27,"Drought","predicted",2012,NA,NA,NA,27
"160",2012-01-27,"Drought","observed",2012,NA,NA,NA,27
"161",2012-01-27,"Irrigation","predicted",2012,NA,NA,NA,27
"162",2012-01-27,"Irrigation","observed",2012,NA,NA,NA,27
"163",2012-01-28,"Control","predicted",2012,NA,NA,NA,28
"164",2012-01-28,"Control","observed",2012,NA,NA,NA,28
"165",2012-01-28,"Drought","predicted",2012,NA,NA,NA,28
"166",2012-01-28,"Drought","observed",2012,NA,NA,NA,28
"167",2012-01-28,"Irrigation","predicted",2012,NA,NA,NA,28
"168",2012-01-28,"Irrigation","observed",2012,NA,NA,NA,28
"169",2012-01-29,"Control","predicted",2012,NA,NA,NA,29
"170",2012-01-29,"Control","observed",2012,NA,NA,NA,29
"171",2012-01-29,"Drought","predicted",2012,NA,NA,NA,29
"172",2012-01-29,"Drought","observed",2012,NA,NA,NA,29
"173",2012-01-29,"Irrigation","predicted",2012,NA,NA,NA,29
"174",2012-01-29,"Irrigation","observed",2012,NA,NA,NA,29
"175",2012-01-30,"Control","predicted",2012,NA,NA,NA,30
"176",2012-01-30,"Control","observed",2012,NA,NA,NA,30
"177",2012-01-30,"Drought","predicted",2012,NA,NA,NA,30
"178",2012-01-30,"Drought","observed",2012,NA,NA,NA,30
"179",2012-01-30,"Irrigation","predicted",2012,NA,NA,NA,30
"180",2012-01-30,"Irrigation","observed",2012,NA,NA,NA,30
"181",2012-01-31,"Control","predicted",2012,NA,NA,NA,31
"182",2012-01-31,"Control","observed",2012,NA,NA,NA,31
"183",2012-01-31,"Drought","predicted",2012,NA,NA,NA,31
"184",2012-01-31,"Drought","observed",2012,NA,NA,NA,31
"185",2012-01-31,"Irrigation","predicted",2012,NA,NA,NA,31
"186",2012-01-31,"Irrigation","observed",2012,NA,NA,NA,31
"187",2012-02-01,"Control","predicted",2012,NA,NA,NA,32
"188",2012-02-01,"Control","observed",2012,NA,NA,NA,32
"189",2012-02-01,"Drought","predicted",2012,NA,NA,NA,32
"190",2012-02-01,"Drought","observed",2012,NA,NA,NA,32
"191",2012-02-01,"Irrigation","predicted",2012,NA,NA,NA,32
"192",2012-02-01,"Irrigation","observed",2012,NA,NA,NA,32
"193",2012-02-02,"Control","predicted",2012,NA,NA,NA,33
"194",2012-02-02,"Control","observed",2012,NA,NA,NA,33
"195",2012-02-02,"Drought","predicted",2012,NA,NA,NA,33
"196",2012-02-02,"Drought","observed",2012,NA,NA,NA,33
"197",2012-02-02,"Irrigation","predicted",2012,NA,NA,NA,33
"198",2012-02-02,"Irrigation","observed",2012,NA,NA,NA,33
"199",2012-02-03,"Control","predicted",2012,NA,NA,NA,34
"200",2012-02-03,"Control","observed",2012,NA,NA,NA,34
"201",2012-02-03,"Drought","predicted",2012,NA,NA,NA,34
"202",2012-02-03,"Drought","observed",2012,NA,NA,NA,34
"203",2012-02-03,"Irrigation","predicted",2012,NA,NA,NA,34
"204",2012-02-03,"Irrigation","observed",2012,NA,NA,NA,34
"205",2012-02-04,"Control","predicted",2012,NA,NA,NA,35
"206",2012-02-04,"Control","observed",2012,NA,NA,NA,35
"207",2012-02-04,"Drought","predicted",2012,NA,NA,NA,35
"208",2012-02-04,"Drought","observed",2012,NA,NA,NA,35
"209",2012-02-04,"Irrigation","predicted",2012,NA,NA,NA,35
"210",2012-02-04,"Irrigation","observed",2012,NA,NA,NA,35
"211",2012-02-05,"Control","predicted",2012,NA,NA,NA,36
"212",2012-02-05,"Control","observed",2012,NA,NA,NA,36
"213",2012-02-05,"Drought","predicted",2012,NA,NA,NA,36
"214",2012-02-05,"Drought","observed",2012,NA,NA,NA,36
"215",2012-02-05,"Irrigation","predicted",2012,NA,NA,NA,36
"216",2012-02-05,"Irrigation","observed",2012,NA,NA,NA,36
"217",2012-02-06,"Control","predicted",2012,NA,NA,NA,37
"218",2012-02-06,"Control","observed",2012,NA,NA,NA,37
"219",2012-02-06,"Drought","predicted",2012,NA,NA,NA,37
"220",2012-02-06,"Drought","observed",2012,NA,NA,NA,37
"221",2012-02-06,"Irrigation","predicted",2012,NA,NA,NA,37
"222",2012-02-06,"Irrigation","observed",2012,NA,NA,NA,37
"223",2012-02-07,"Control","predicted",2012,NA,NA,NA,38
"224",2012-02-07,"Control","observed",2012,NA,NA,NA,38
"225",2012-02-07,"Drought","predicted",2012,NA,NA,NA,38
"226",2012-02-07,"Drought","observed",2012,NA,NA,NA,38
"227",2012-02-07,"Irrigation","predicted",2012,NA,NA,NA,38
"228",2012-02-07,"Irrigation","observed",2012,NA,NA,NA,38
"229",2012-02-08,"Control","predicted",2012,NA,NA,NA,39
"230",2012-02-08,"Control","observed",2012,NA,NA,NA,39
"231",2012-02-08,"Drought","predicted",2012,NA,NA,NA,39
"232",2012-02-08,"Drought","observed",2012,NA,NA,NA,39
"233",2012-02-08,"Irrigation","predicted",2012,NA,NA,NA,39
"234",2012-02-08,"Irrigation","observed",2012,NA,NA,NA,39
"235",2012-02-09,"Control","predicted",2012,NA,NA,NA,40
"236",2012-02-09,"Control","observed",2012,NA,NA,NA,40
"237",2012-02-09,"Drought","predicted",2012,NA,NA,NA,40
"238",2012-02-09,"Drought","observed",2012,NA,NA,NA,40
"239",2012-02-09,"Irrigation","predicted",2012,NA,NA,NA,40
"240",2012-02-09,"Irrigation","observed",2012,NA,NA,NA,40
"241",2012-02-10,"Control","predicted",2012,NA,NA,NA,41
"242",2012-02-10,"Control","observed",2012,NA,NA,NA,41
"243",2012-02-10,"Drought","predicted",2012,NA,NA,NA,41
"244",2012-02-10,"Drought","observed",2012,NA,NA,NA,41
"245",2012-02-10,"Irrigation","predicted",2012,NA,NA,NA,41
"246",2012-02-10,"Irrigation","observed",2012,NA,NA,NA,41
"247",2012-02-11,"Control","predicted",2012,NA,NA,NA,42
"248",2012-02-11,"Control","observed",2012,NA,NA,NA,42
"249",2012-02-11,"Drought","predicted",2012,NA,NA,NA,42
"250",2012-02-11,"Drought","observed",2012,NA,NA,NA,42
"251",2012-02-11,"Irrigation","predicted",2012,NA,NA,NA,42
"252",2012-02-11,"Irrigation","observed",2012,NA,NA,NA,42
"253",2012-02-12,"Control","predicted",2012,NA,NA,NA,43
"254",2012-02-12,"Control","observed",2012,NA,NA,NA,43
"255",2012-02-12,"Drought","predicted",2012,NA,NA,NA,43
"256",2012-02-12,"Drought","observed",2012,NA,NA,NA,43
"257",2012-02-12,"Irrigation","predicted",2012,NA,NA,NA,43
"258",2012-02-12,"Irrigation","observed",2012,NA,NA,NA,43
"259",2012-02-13,"Control","predicted",2012,NA,NA,NA,44
"260",2012-02-13,"Control","observed",2012,NA,NA,NA,44
"261",2012-02-13,"Drought","predicted",2012,NA,NA,NA,44
"262",2012-02-13,"Drought","observed",2012,NA,NA,NA,44
"263",2012-02-13,"Irrigation","predicted",2012,NA,NA,NA,44
"264",2012-02-13,"Irrigation","observed",2012,NA,NA,NA,44
"265",2012-02-14,"Control","predicted",2012,NA,NA,NA,45
"266",2012-02-14,"Control","observed",2012,NA,NA,NA,45
"267",2012-02-14,"Drought","predicted",2012,NA,NA,NA,45
"268",2012-02-14,"Drought","observed",2012,NA,NA,NA,45
"269",2012-02-14,"Irrigation","predicted",2012,NA,NA,NA,45
"270",2012-02-14,"Irrigation","observed",2012,NA,NA,NA,45
"271",2012-02-15,"Control","predicted",2012,NA,NA,NA,46
"272",2012-02-15,"Control","observed",2012,NA,NA,NA,46
"273",2012-02-15,"Drought","predicted",2012,NA,NA,NA,46
"274",2012-02-15,"Drought","observed",2012,NA,NA,NA,46
"275",2012-02-15,"Irrigation","predicted",2012,NA,NA,NA,46
"276",2012-02-15,"Irrigation","observed",2012,NA,NA,NA,46
"277",2012-02-16,"Control","predicted",2012,NA,NA,NA,47
"278",2012-02-16,"Control","observed",2012,NA,NA,NA,47
"279",2012-02-16,"Drought","predicted",2012,NA,NA,NA,47
"280",2012-02-16,"Drought","observed",2012,NA,NA,NA,47
"281",2012-02-16,"Irrigation","predicted",2012,NA,NA,NA,47
"282",2012-02-16,"Irrigation","observed",2012,NA,NA,NA,47
"283",2012-02-17,"Control","predicted",2012,NA,NA,NA,48
"284",2012-02-17,"Control","observed",2012,NA,NA,NA,48
"285",2012-02-17,"Drought","predicted",2012,NA,NA,NA,48
"286",2012-02-17,"Drought","observed",2012,NA,NA,NA,48
"287",2012-02-17,"Irrigation","predicted",2012,NA,NA,NA,48
"288",2012-02-17,"Irrigation","observed",2012,NA,NA,NA,48
"289",2012-02-18,"Control","predicted",2012,NA,NA,NA,49
"290",2012-02-18,"Control","observed",2012,NA,NA,NA,49
"291",2012-02-18,"Drought","predicted",2012,NA,NA,NA,49
"292",2012-02-18,"Drought","observed",2012,NA,NA,NA,49
"293",2012-02-18,"Irrigation","predicted",2012,NA,NA,NA,49
"294",2012-02-18,"Irrigation","observed",2012,NA,NA,NA,49
"295",2012-02-19,"Control","predicted",2012,NA,NA,NA,50
"296",2012-02-19,"Control","observed",2012,NA,NA,NA,50
"297",2012-02-19,"Drought","predicted",2012,NA,NA,NA,50
"298",2012-02-19,"Drought","observed",2012,NA,NA,NA,50
"299",2012-02-19,"Irrigation","predicted",2012,NA,NA,NA,50
"300",2012-02-19,"Irrigation","observed",2012,NA,NA,NA,50
"301",2012-02-20,"Control","predicted",2012,NA,NA,NA,51
"302",2012-02-20,"Control","observed",2012,NA,NA,NA,51
"303",2012-02-20,"Drought","predicted",2012,NA,NA,NA,51
"304",2012-02-20,"Drought","observed",2012,NA,NA,NA,51
"305",2012-02-20,"Irrigation","predicted",2012,NA,NA,NA,51
"306",2012-02-20,"Irrigation","observed",2012,NA,NA,NA,51
"307",2012-02-21,"Control","predicted",2012,NA,NA,NA,52
"308",2012-02-21,"Control","observed",2012,NA,NA,NA,52
"309",2012-02-21,"Drought","predicted",2012,NA,NA,NA,52
"310",2012-02-21,"Drought","observed",2012,NA,NA,NA,52
"311",2012-02-21,"Irrigation","predicted",2012,NA,NA,NA,52
"312",2012-02-21,"Irrigation","observed",2012,NA,NA,NA,52
"313",2012-02-22,"Control","predicted",2012,NA,NA,NA,53
"314",2012-02-22,"Control","observed",2012,NA,NA,NA,53
"315",2012-02-22,"Drought","predicted",2012,NA,NA,NA,53
"316",2012-02-22,"Drought","observed",2012,NA,NA,NA,53
"317",2012-02-22,"Irrigation","predicted",2012,NA,NA,NA,53
"318",2012-02-22,"Irrigation","observed",2012,NA,NA,NA,53
"319",2012-02-23,"Control","predicted",2012,NA,NA,NA,54
"320",2012-02-23,"Control","observed",2012,NA,NA,NA,54
"321",2012-02-23,"Drought","predicted",2012,NA,NA,NA,54
"322",2012-02-23,"Drought","observed",2012,NA,NA,NA,54
"323",2012-02-23,"Irrigation","predicted",2012,NA,NA,NA,54
"324",2012-02-23,"Irrigation","observed",2012,NA,NA,NA,54
"325",2012-02-24,"Control","predicted",2012,NA,NA,NA,55
"326",2012-02-24,"Control","observed",2012,NA,NA,NA,55
"327",2012-02-24,"Drought","predicted",2012,NA,NA,NA,55
"328",2012-02-24,"Drought","observed",2012,NA,NA,NA,55
"329",2012-02-24,"Irrigation","predicted",2012,NA,NA,NA,55
"330",2012-02-24,"Irrigation","observed",2012,NA,NA,NA,55
"331",2012-02-25,"Control","predicted",2012,NA,NA,NA,56
"332",2012-02-25,"Control","observed",2012,NA,NA,NA,56
"333",2012-02-25,"Drought","predicted",2012,NA,NA,NA,56
"334",2012-02-25,"Drought","observed",2012,NA,NA,NA,56
"335",2012-02-25,"Irrigation","predicted",2012,NA,NA,NA,56
"336",2012-02-25,"Irrigation","observed",2012,NA,NA,NA,56
"337",2012-02-26,"Control","predicted",2012,NA,NA,NA,57
"338",2012-02-26,"Control","observed",2012,NA,NA,NA,57
"339",2012-02-26,"Drought","predicted",2012,NA,NA,NA,57
"340",2012-02-26,"Drought","observed",2012,NA,NA,NA,57
"341",2012-02-26,"Irrigation","predicted",2012,NA,NA,NA,57
"342",2012-02-26,"Irrigation","observed",2012,NA,NA,NA,57
"343",2012-02-27,"Control","predicted",2012,NA,NA,NA,58
"344",2012-02-27,"Control","observed",2012,NA,NA,NA,58
"345",2012-02-27,"Drought","predicted",2012,NA,NA,NA,58
"346",2012-02-27,"Drought","observed",2012,NA,NA,NA,58
"347",2012-02-27,"Irrigation","predicted",2012,NA,NA,NA,58
"348",2012-02-27,"Irrigation","observed",2012,NA,NA,NA,58
"349",2012-02-28,"Control","predicted",2012,NA,NA,NA,59
"350",2012-02-28,"Control","observed",2012,NA,NA,NA,59
"351",2012-02-28,"Drought","predicted",2012,NA,NA,NA,59
"352",2012-02-28,"Drought","observed",2012,NA,NA,NA,59
"353",2012-02-28,"Irrigation","predicted",2012,NA,NA,NA,59
"354",2012-02-28,"Irrigation","observed",2012,NA,NA,NA,59
"355",2012-02-29,"Control","predicted",2012,NA,NA,NA,60
"356",2012-02-29,"Control","observed",2012,NA,NA,NA,60
"357",2012-02-29,"Drought","predicted",2012,NA,NA,NA,60
"358",2012-02-29,"Drought","observed",2012,NA,NA,NA,60
"359",2012-02-29,"Irrigation","predicted",2012,NA,NA,NA,60
"360",2012-02-29,"Irrigation","observed",2012,NA,NA,NA,60
"361",2012-03-01,"Control","predicted",2012,NA,NA,NA,61
"362",2012-03-01,"Control","observed",2012,NA,NA,NA,61
"363",2012-03-01,"Drought","predicted",2012,NA,NA,NA,61
"364",2012-03-01,"Drought","observed",2012,NA,NA,NA,61
"365",2012-03-01,"Irrigation","predicted",2012,NA,NA,NA,61
"366",2012-03-01,"Irrigation","observed",2012,NA,NA,NA,61
"367",2012-03-02,"Control","predicted",2012,NA,NA,NA,62
"368",2012-03-02,"Control","observed",2012,NA,NA,NA,62
"369",2012-03-02,"Drought","predicted",2012,NA,NA,NA,62
"370",2012-03-02,"Drought","observed",2012,NA,NA,NA,62
"371",2012-03-02,"Irrigation","predicted",2012,NA,NA,NA,62
"372",2012-03-02,"Irrigation","observed",2012,NA,NA,NA,62
"373",2012-03-03,"Control","predicted",2012,NA,NA,NA,63
"374",2012-03-03,"Control","observed",2012,NA,NA,NA,63
"375",2012-03-03,"Drought","predicted",2012,NA,NA,NA,63
"376",2012-03-03,"Drought","observed",2012,NA,NA,NA,63
"377",2012-03-03,"Irrigation","predicted",2012,NA,NA,NA,63
"378",2012-03-03,"Irrigation","observed",2012,NA,NA,NA,63
"379",2012-03-04,"Control","predicted",2012,NA,NA,NA,64
"380",2012-03-04,"Control","observed",2012,NA,NA,NA,64
"381",2012-03-04,"Drought","predicted",2012,NA,NA,NA,64
"382",2012-03-04,"Drought","observed",2012,NA,NA,NA,64
"383",2012-03-04,"Irrigation","predicted",2012,NA,NA,NA,64
"384",2012-03-04,"Irrigation","observed",2012,NA,NA,NA,64
"385",2012-03-05,"Control","predicted",2012,NA,NA,NA,65
"386",2012-03-05,"Control","observed",2012,NA,NA,NA,65
"387",2012-03-05,"Drought","predicted",2012,NA,NA,NA,65
"388",2012-03-05,"Drought","observed",2012,NA,NA,NA,65
"389",2012-03-05,"Irrigation","predicted",2012,NA,NA,NA,65
"390",2012-03-05,"Irrigation","observed",2012,NA,NA,NA,65
"391",2012-03-06,"Control","predicted",2012,NA,NA,NA,66
"392",2012-03-06,"Control","observed",2012,NA,NA,NA,66
"393",2012-03-06,"Drought","predicted",2012,NA,NA,NA,66
"394",2012-03-06,"Drought","observed",2012,NA,NA,NA,66
"395",2012-03-06,"Irrigation","predicted",2012,NA,NA,NA,66
"396",2012-03-06,"Irrigation","observed",2012,NA,NA,NA,66
"397",2012-03-07,"Control","predicted",2012,NA,NA,NA,67
"398",2012-03-07,"Control","observed",2012,NA,NA,NA,67
"399",2012-03-07,"Drought","predicted",2012,NA,NA,NA,67
"400",2012-03-07,"Drought","observed",2012,NA,NA,NA,67
"401",2012-03-07,"Irrigation","predicted",2012,NA,NA,NA,67
"402",2012-03-07,"Irrigation","observed",2012,NA,NA,NA,67
"403",2012-03-08,"Control","predicted",2012,NA,NA,NA,68
"404",2012-03-08,"Control","observed",2012,NA,NA,NA,68
"405",2012-03-08,"Drought","predicted",2012,NA,NA,NA,68
"406",2012-03-08,"Drought","observed",2012,NA,NA,NA,68
"407",2012-03-08,"Irrigation","predicted",2012,NA,NA,NA,68
"408",2012-03-08,"Irrigation","observed",2012,NA,NA,NA,68
"409",2012-03-09,"Control","predicted",2012,NA,NA,NA,69
"410",2012-03-09,"Control","observed",2012,NA,NA,NA,69
"411",2012-03-09,"Drought","predicted",2012,NA,NA,NA,69
"412",2012-03-09,"Drought","observed",2012,NA,NA,NA,69
"413",2012-03-09,"Irrigation","predicted",2012,NA,NA,NA,69
"414",2012-03-09,"Irrigation","observed",2012,NA,NA,NA,69
"415",2012-03-10,"Control","predicted",2012,NA,NA,NA,70
"416",2012-03-10,"Control","observed",2012,NA,NA,NA,70
"417",2012-03-10,"Drought","predicted",2012,NA,NA,NA,70
"418",2012-03-10,"Drought","observed",2012,NA,NA,NA,70
"419",2012-03-10,"Irrigation","predicted",2012,NA,NA,NA,70
"420",2012-03-10,"Irrigation","observed",2012,NA,NA,NA,70
"421",2012-03-11,"Control","predicted",2012,NA,NA,NA,71
"422",2012-03-11,"Control","observed",2012,NA,NA,NA,71
"423",2012-03-11,"Drought","predicted",2012,NA,NA,NA,71
"424",2012-03-11,"Drought","observed",2012,NA,NA,NA,71
